National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (711) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""West Virginia"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
540144001068,WV-8500000-85201,5401440,WV-8500000,PK,05,ARTHUR I BOREMAN ELEMENTARY SCHOOL,TYLER COUNTY SCHOOLS,PO BOX 299,MIDDLEBOURNE,WV,26149,,(304)758-2152,†,No,Yes,Yes,288.00000,27.00000,10.7000000,–,–
540009000035,WV-0600000-06201,5400090,WV-0600000,PK,05,ASHFORD-RUMBLE ELEMENTARY,BOONE COUNTY SCHOOLS,1649 ASHFORD NELLIS ROAD,ASHFORD,WV,25009,,(304)836-5381,†,No,Yes,Yes,124.00000,12.00000,10.3000000,–,–
540078001505,WV-4900000-49216,5400780,WV-4900000,PK,06,ASHTON ELEMENTARY SCHOOL,MASON COUNTY SCHOOLS,997 ASHTON UPLAND ROAD,ASHTON,WV,25503,,(304)576-9931,†,No,Yes,Yes,346.00000,25.00000,13.8000000,–,–
540084000672,WV-5100000-51201,5400840,WV-5100000,PK,05,ATHENS ELEMENTARY SCHOOL,MERCER COUNTY SCHOOLS,PO BOX 568,ATHENS,WV,24712,,(304)384-9229,†,No,No,†,239.00000,18.00000,13.3000000,–,–
540042001232,WV-2800000-28201,5400420,WV-2800000,PK,05,AUGUSTA ELEMENTARY SCHOOL,HAMPSHIRE COUNTY SCHOOLS,61 PANCIONE LOOP,AUGUSTA,WV,26704,,(304)496-7001,†,No,Yes,Yes,255.00000,19.90000,12.8000000,–,–
540117001358,WV-7000000-70101,5401170,WV-7000000,PK,08,AURORA SCHOOL,PRESTON COUNTY SCHOOLS,125 AURORA SCHOOL ROAD,AURORA,WV,26705,,(304)735-3781,†,No,Yes,Yes,155.00000,14.00000,11.1000000,–,–
540147001077,WV-8700000-87301,5401470,WV-8700000,06,08,B-U MIDDLE SCHOOL,UPSHUR COUNTY SCHOOLS,553 ROUTE 20 SOUTH ROAD,BUCKHANNON,WV,26201,,(304)472-1520,†,No,Yes,Yes,817.00000,46.50000,17.6000000,–,–
540006000012,WV-0400000-04201,5400060,WV-0400000,PK,02,BACK CREEK VALLEY ELEMENTARY SCHOOL,BERKELEY COUNTY SCHOOLS,1962 BACK CREEK VALLEY ROAD,HEDGESVILLE,WV,25427,,(304)229-1975,†,No,Yes,Yes,150.00000,11.55000,13.0000000,–,–
540165001191,WV-9800000-98201,5401650,WV-9800000,PK,08,BAILEYSVILLE ELEMENTARY & MIDDLE SCHOOL,WYOMING COUNTY SCHOOLS,DRAWER 409,BRENTON,WV,24818,,(304)732-6399,†,No,Yes,Yes,326.00000,22.50000,14.5000000,–,–
540018000091,WV-1200000-12301,5400180,WV-1200000,06,08,BARBOURSVILLE MIDDLE SCHOOL,CABELL COUNTY SCHOOLS,1400 CENTRAL AVE,BARBOURSVILLE,WV,25504,,(304)733-3003,†,No,No,†,743.00000,55.00000,13.5000000,–,–
540051100110,WV-3400000-34103,5400511,WV-3400000,08,12,BARBOURSVILLE SCHOOL,INSTITUTIONAL EDUCATIONAL PROGRAMS,1535 MARTHA ROAD,BARBOURSVILLE,WV,25504,,(304)736-0915,†,No,No,†,16.00000,–,†,–,–
540072000997,WV-4700000-47504,5400720,WV-4700000,KG,12,BARNES LEARNING CENTER (ALC),MARION COUNTY SCHOOLS,100 NAOMI STREET,FAIRMONT,WV,26554,1834,(304)367-2127,†,No,No,†,–,11.00000,†,–,–
540072000542,WV-4700000-47101,5400720,WV-4700000,PK,08,BARRACKVILLE ELEMENTARY/MIDDLE SCHOOL,MARION COUNTY SCHOOLS,P O BOX 150,BARRACKVILLE,WV,26559,0150,(304)367-2128,†,No,No,†,349.00000,27.00000,12.9000000,–,–
540078000609,WV-4900000-49201,5400780,WV-4900000,PK,06,BEALE ELEMENTARY SCHOOL,MASON COUNTY SCHOOLS,12897 HUNTINGTON ROAD,GALLIPOLIS FERRY,WV,25515,,(304)675-1260,†,No,Yes,Yes,243.00000,23.00000,10.6000000,–,–
540051101130,WV-3400000-34132,5400511,WV-3400000,05,12,BECKLEY CENTER,INSTITUTIONAL EDUCATIONAL PROGRAMS,4712 ROBERT C. BYRD DRIVE,BECKLEY,WV,25801,,(304)250-6570,†,No,No,†,23.00000,–,†,–,–
540123001176,WV-7400000-74234,5401230,WV-7400000,PK,05,BECKLEY ELEMENTARY,RALEIGH COUNTY SCHOOLS,399 GRAY FLATS ROAD,BECKLEY,WV,25801,,(304)256-4575,†,No,Yes,Yes,323.00000,27.00000,12.0000000,–,–
540123000940,WV-7400000-74409,5401230,WV-7400000,06,08,BECKLEY-STRATTON MIDDLE SCHOOL,RALEIGH COUNTY SCHOOLS,401 GRAY FLATS ROAD,BECKLEY,WV,25801,,(304)256-4616,†,No,No,†,688.00000,51.50000,13.4000000,–,–
540006000013,WV-0400000-04202,5400060,WV-0400000,PK,02,BEDINGTON ELEMENTARY SCHOOL,BERKELEY COUNTY SCHOOLS,149 BEDINGTON ROAD,MARTINSBURG,WV,25404,,(304)274-2535,†,No,Yes,Yes,180.00000,12.50000,14.4000000,–,–
540003000001,WV-0200000-02201,5400030,WV-0200000,PK,04,BELINGTON ELEMENTARY,BARBOUR COUNTY BOARD OF EDUCATION,471 MORGANTOWN PIKE,BELINGTON,WV,26250,7711,(304)823-1411,†,No,Yes,Yes,274.00000,21.12000,13.0000000,–,–
