National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (3531) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Ohio""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
390494903611,OH-049494-000208,3904949,OH-049494,09,12,Adena High School,Adena Local,3367 County Road 550,Frankfort,OH,45628,9503,(740)998-2313,No,–,No,†,339.00000,16.00000,21.2000000,–,–
390494901451,OH-049494-123547,3904949,OH-049494,05,08,Adena Middle School,Adena Local,3367 County Road 550,Frankfort,OH,45628,9503,(740)998-2313,No,–,Yes,Yes,359.00000,16.00000,22.4000000,–,–
390437800413,OH-043786-000224,3904378,OH-043786,PK,09,Adlai Stevenson School,Cleveland Municipal,18300 Woda Avenue,Cleveland,OH,44122,6441,(216)838-5300,No,–,Yes,Yes,410.00000,32.00000,12.8000000,–,–
390442601193,OH-044263-019646,3904426,OH-044263,PK,05,Admiral King Elementary School,Lorain City,720 Washington Ave,Lorain,OH,44052,1465,(440)245-6315,No,–,Yes,Yes,233.00000,19.00000,12.3000000,–,–
390447901642,OH-044792-000232,3904479,OH-044792,KG,03,Adrian Elementary School,South Euclid-Lyndhurst City,1071 Homestead Rd,South Euclid,OH,44121,3580,(216)691-2170,No,–,Yes,Yes,226.00000,15.40000,14.7000000,–,–
390437504417,OH-043752-147538,3904375,OH-043752,06,12,Aiken New Tech High School,Cincinnati Public Schools,5641 Belmont Ave,Cincinnati,OH,45224,3101,(513)363-6760,No,–,Yes,Yes,1002.00000,62.00000,16.2000000,–,–
390437105973,OH-043711-016912,3904371,OH-043711,KG,08,AIM Academy at Fairmount,Canton City,2701 Coventry Blvd NE,Canton,OH,44705,4165,(330)456-3167,No,–,No,†,367.00000,28.00000,13.1000000,–,–
390434805266,OH-043489-000363,3904348,OH-043489,11,12,Akron Alternative Academy,Akron City,77 W Thornton St,Akron,OH,44311,1357,(330)761-3262,No,–,Yes,Yes,187.00000,11.00000,17.0000000,–,–
390434805431,OH-043489-009145,3904348,OH-043489,09,12,Akron Early College High School,Akron City,225 S Main St,Akron,OH,44325,0001,(330)761-1661,No,–,Yes,No,402.00000,10.00000,40.2000000,–,–
390150305726,OH-013254-013254,3901503,OH-013254,KG,08,Akron Preparatory School,Akron Preparatory School,1200 E Market St Ste 3360,Akron,OH,44305,4018,(330)247-6232,Yes,–,Yes,Yes,366.00000,14.00000,26.1000000,–,–
390434805731,OH-043489-013231,3904348,OH-043489,09,12,Akron STEM High School,Akron City,123 S Forge St,Akron,OH,44308,1703,(330)761-1661,No,–,No,†,323.00000,21.00000,15.4000000,–,–
390142805651,OH-012060-012060,3901428,OH-012060,06,08,Akros Middle School,Akros Middle School,265 Park St,Akron,OH,44304,1305,(330)374-6704,Yes,–,Yes,Yes,119.00000,7.80000,15.3000000,–,–
390437800462,OH-043786-012682,3904378,OH-043786,PK,08,Albert Bushnell Hart,Cleveland Municipal,3900 E 75th St,Cleveland,OH,44105,3800,(216)838-4400,No,–,Yes,Yes,217.00000,18.00000,12.1000000,–,–
390470204364,OH-047027-099580,3904702,OH-047027,KG,05,Albert Chapman Elementary School,Dublin City,8450 Sawmill Rd,Powell,OH,43065,9504,(614)761-5864,No,–,No,†,549.00000,26.50000,20.7000000,–,–
390153905804,OH-013994-013994,3901539,OH-013994,KG,12,Albert Einstein Academy for Letters Arts and Sciences-Ohio,Albert Einstein Academy for Letters Arts and Sciences-Ohio,25000 Country Club Blvd Ste 135,North Olmsted,OH,44070,6314,(440)471-4982,Yes,–,Yes,No,369.00000,33.00000,11.2000000,–,–
390445401442,OH-044545-000265,3904454,OH-044545,KG,04,Albion Elementary School,North Royalton City,9360 Albion Rd,North Royalton,OH,44133,1768,(440)582-9060,No,–,Yes,No,473.00000,25.00000,18.9000000,–,–
390450404565,OH-045047-146175,3904504,OH-045047,KG,05,Alcott Elementary School,Westerville City,7117 Mount Royal Ave,Westerville,OH,43082,8392,(614)797-7350,No,–,No,†,502.00000,31.20000,16.1000000,–,–
390459002377,OH-045906-000257,3904590,OH-045906,PK,05,Alexander Elementary School,Alexander Local,6105 School Road,Albany,OH,45710,9236,(740)698-8831,No,–,Yes,Yes,632.00000,41.00000,15.4000000,–,–
390459002378,OH-045906-000315,3904590,OH-045906,06,12,Alexander Jr. / Sr. High School,Alexander Local,6125 School Rd,Albany,OH,45710,8904,(740)698-8831,No,–,No,†,761.00000,49.00000,15.5000000,–,–
390437800434,OH-043786-005637,3904378,OH-043786,KG,08,Alfred Benesch,Cleveland Municipal,5393 Quincy Ave,Cleveland,OH,44104,4409,(216)838-1300,No,–,Yes,Yes,236.00000,18.00000,13.1000000,–,–
390457502332,OH-045757-000448,3904575,OH-045757,PK,04,Allen East Elementary School,Allen East Local,9105 Harding Hwy,Harrod,OH,45850,9485,(419)648-3333,No,–,Yes,No,437.00000,24.00000,18.2000000,–,–
390457502331,OH-045757-000364,3904575,OH-045757,09,12,Allen East High School,Allen East Local,9105 Harding Hwy,Harrod,OH,45850,9485,(419)648-3333,No,–,No,†,328.00000,17.00000,19.3000000,–,–
390457505882,OH-045757-015724,3904575,OH-045757,05,08,Allen East Middle School,Allen East Local,9105 Harding Hwy,Harrod,OH,45850,9485,(419)648-3333,No,–,Yes,No,315.00000,15.00000,21.0000000,–,–
390013004180,OH-000139-000139,3900130,OH-000139,KG,08,Alliance Academy of Cincinnati,Alliance Academy of Cincinnati,1712 Duck Creek Rd,Cincinnati,OH,45207,1644,(513)751-5555,Yes,–,Yes,Yes,502.00000,25.75000,19.5000000,–,–
390434900069,OH-043497-029256,3904349,OH-043497,PK,01,Alliance Early Learning School,Alliance City,285 W OXFORD ST,Alliance,OH,44601,3806,(330)829-2266,No,–,Yes,Yes,507.00000,12.53000,40.5000000,–,–
390434904191,OH-043497-145417,3904349,OH-043497,KG,03,Alliance Elementary School at Rockhill,Alliance City,2400 S Rockhill Ave,Alliance,OH,44601,5420,(330)829-2260,No,–,Yes,Yes,386.00000,20.83000,18.5000000,–,–
390434900064,OH-043497-000463,3904349,OH-043497,09,12,Alliance High School,Alliance City,400 Glamorgan St,Alliance,OH,44601,2810,(330)829-2245,No,–,Yes,No,1035.00000,61.00000,17.0000000,–,–
390434904190,OH-043497-145409,3904349,OH-043497,04,06,Alliance Intermediate School @ Northside,Alliance City,701 Johnson Ave,Alliance,OH,44601,1599,(330)829-2269,No,–,Yes,Yes,369.00000,19.84000,18.6000000,–,–
390434904189,OH-043497-145391,3904349,OH-043497,06,10,Alliance Middle School,Alliance City,3205 S Union Ave,Alliance,OH,44601,5365,(330)829-2254,No,–,Yes,Yes,678.00000,40.50000,16.7000000,–,–
390437800417,OH-043786-000489,3904378,OH-043786,PK,09,Almira,Cleveland Municipal,3375 W 99th St,Cleveland,OH,44102,4642,(216)838-6150,No,–,Yes,Yes,489.00000,28.00000,17.5000000,–,–
390438000582,OH-043802-000497,3904380,OH-043802,KG,03,Alpine Elementary School,Columbus City School District,1590 Alpine Dr,Columbus,OH,43229,2120,(614)365-5359,No,–,Yes,Yes,286.00000,16.00000,17.9000000,–,–
390020304727,OH-143396-143396,3900203,OH-143396,KG,12,Alternative Education Academy,Alternative Education Academy,1830 Adams St,Toledo,OH,43604,4428,(330)253-8680,Yes,–,Yes,Yes,4994.00000,129.11000,38.7000000,–,–
390470104609,OH-047019-140806,3904701,OH-047019,01,06,Alton Darby Elementary School,Hilliard City,2730 Alton Darby Creek Rd,Hilliard,OH,43026,9770,(614)921-5000,No,–,No,†,513.00000,37.50000,13.7000000,–,–
390448001654,OH-044800-000505,3904480,OH-044800,KG,04,Alton Hall Elementary School,South-Western City,982 Alton Rd,Galloway,OH,43119,8867,(614)801-8000,No,–,Yes,Yes,479.00000,21.00000,22.8000000,–,–
390467600646,OH-046763-123141,3904676,OH-046763,PK,05,Alum Creek Elementary School,Olentangy Local,2515 Parklawn Dr,Lewis Center,OH,43035,6064,(740)657-4600,No,–,No,†,537.00000,41.90000,12.8000000,–,–
390444001317,OH-044404-000547,3904440,OH-044404,PK,05,Amanda Elementary School,Middletown City,1300 Oxford State Rd,Middletown,OH,45044,7580,(513)420-4542,No,–,Yes,Yes,387.00000,24.85000,15.6000000,–,–
390468402671,OH-046847-000539,3904684,OH-046847,03,05,Amanda-Clearcreek Elementary School,Amanda-Clearcreek Local,328 E Main St,Amanda,OH,43102,9330,(740)969-7253,No,–,Yes,Yes,300.00000,16.00000,18.8000000,–,–
390468402672,OH-046847-000562,3904684,OH-046847,09,12,Amanda-Clearcreek High School,Amanda-Clearcreek Local,328 E Main St,Amanda,OH,43102,9330,(740)969-7251,No,–,No,†,415.00000,23.50000,17.7000000,–,–
390468400919,OH-046847-122069,3904684,OH-046847,06,08,Amanda-Clearcreek Middle School,Amanda-Clearcreek Local,328 E Main St,Amanda,OH,43102,9330,(740)969-7252,No,–,Yes,Yes,364.00000,19.00000,19.2000000,–,–
390468402673,OH-046847-006585,3904684,OH-046847,KG,02,Amanda-Clearcreek Primary School,Amanda-Clearcreek Local,414 N School St,Amanda,OH,43102,9613,(740)969-7254,No,–,Yes,Yes,334.00000,16.00000,20.9000000,–,–
390463502520,OH-046359-000596,3904635,OH-046359,KG,05,Amelia Elementary School,West Clermont Local,5 E Main St,Amelia,OH,45102,1943,(513)943-3800,No,–,No,†,656.00000,29.91000,21.9000000,–,–
390459102381,OH-045914-000620,3904591,OH-045914,PK,06,Amesville Elementary School,Federal Hocking Local,PO Box 189,Amesville,OH,45711,0189,(740)448-2501,No,–,Yes,Yes,258.00000,18.00000,14.3000000,–,–
390498503714,OH-049858-000638,3904985,OH-049858,KG,05,Amherst Elementary School,Jackson Local,8750 Jane St NW,Massillon,OH,44646,1626,(330)830-8024,No,–,Yes,No,509.00000,22.59000,22.5000000,–,–
390451902119,OH-045195-064113,3904519,OH-045195,06,08,Amherst Junior High School,Amherst Exempted Village,548 Milan Ave,Amherst,OH,44001,1420,(440)988-0324,No,–,Yes,No,849.00000,44.75000,19.0000000,–,–
390438500833,OH-043851-000653,3904385,OH-043851,PK,06,Amity Elementary School,Deer Park Community City,4320 E Galbraith Rd,Cincinnati,OH,45236,2618,(513)891-5995,No,–,Yes,Yes,639.00000,65.82000,9.7000000,–,–
390473402843,OH-047340-000687,3904734,OH-047340,09,12,Anderson High School,Forest Hills Local,7560 Forest Rd,Cincinnati,OH,45255,4307,(513)232-2772,No,–,Yes,No,1215.00000,70.93000,17.1000000,–,–
390437800418,OH-043786-000729,3904378,OH-043786,PK,08,Andrew J Rickoff,Cleveland Municipal,3500 E 147th St,Cleveland,OH,44120,4834,(216)838-4150,No,–,Yes,Yes,438.00000,34.00000,12.9000000,–,–
390470204349,OH-047027-098475,3904702,OH-047027,06,08,Ann Simpson Davis Middle School,Dublin City,2400 Sutter Pkwy,Dublin,OH,43016,8936,(614)761-5820,No,–,Yes,No,999.00000,50.50000,19.8000000,–,–
391000403682,OH-049759-000745,3910004,OH-049759,KG,05,Anna Elementary School,Anna Local,PO Box 169,Anna,OH,45302,0169,(937)394-2011,No,–,Yes,No,499.00000,29.00000,17.2000000,–,–
391000403683,OH-049759-000752,3910004,OH-049759,09,12,Anna High School,Anna Local,PO Box 169,Anna,OH,45302,0169,(937)394-2011,No,–,No,†,302.00000,21.00000,14.4000000,–,–
